;CODIGO;D E T A L L E ;Recuento;;;;;;
849;33-12103-R;Stop CORONA 99 rojo y blanco ;;;;;;;
574;53100-95J09;Stop CORSA;;;;;;;
570;53101-13011-TW;Stop CORSA;;;;;;;
;215-19G2-PXA-R;STOP CRISTALIZADO NISSAN PATROL ;1;;;;;;
;215-19W6-R;STOP CRISTALIZADO NISSAN PATROL ;1;;;;;;
660;220-61871-L;Stop DAIHATSU 95;;;;;;;
;212-1166-L;Stop Daihatsu GRAND MAX TOWN ACE LITE ACE 08~09~10~11~12~13~14;1;;;;;;
;212-1166-R;Stop Daihatsu GRAND MAX TOWN ACE LITE ACE 08~09~10~11~12~13~14;1;;;;;;
;212-1156-L;Stop DAIHATSU ROCKY CRISTAL Tunnig;2;;;;;;
;212-1156-R;Stop DAIHATSU ROCKY CRISTAL Tunnig;1;;;;;;
;42-3-L;Stop DATSUN B310 1979;;;;;;;
;42-3-R;Stop DATSUN B310 1979;;;;;;;
758;7157-L;Stop DATSUN B310 1979;1;;;;;;
;7157-R;Stop DATSUN B310 1979;1;;;;;;
196;11216-R;Stop DE LEGACY;;;;;;;
991;1132-215-L;Stop DE LEGACY;;;;;;;
;OEW2037;STOP DE MALETERA MITSUBISHI MONTERO (terecera luz );;;;;;;
1110;2143-L;Stop DELICA 93 L300 4X4 4G63  Mod 87~93;1;;;;;;
;335-1608-L;Stop DODGE NITRO Mod. 2007~2008~2009~2010~2011;1;;;;;;
;335-1914-R;Stop DODGE NITRO Mod. 2007~2008~2009~2010~2011;2;;;;;;
;334-1918-L;Stop DODGE RAM  PICK UP Mod.2007~2008~;1;;;;;;
;334-1918-R;Stop DODGE RAM  PICK UP Mod.2007~2008~;2;;;;;;
;334-1916-L;Stop DODGE RAM 1500 2500 PICK UP Mod.2002~2003~2004~2005~2006;1;;;;;;
;334-1916-R;Stop DODGE RAM 1500 2500 PICK UP Mod.2002~2003~2004~2005~2006;1;;;;;;
445;3313-R;Stop FORD EXPLORER MERCURY SPORT Mod.95~96~97~98~99~2000~2001~;1;;;;;;
937;257500-3532;Stop Ford RANGER Mod. 2008~2009~2010~2011;1;;;;;;
428;3311-L;Stop FORD Universal                                  NEW;1;;;;;;
724;220-24522-R;Stop FORESTER2000;;;;;;;
687;220-24555-L;Stop FORESTER2000;;;;;;;
115;317-1180-L;Stop FRONTIER 97~98~99~00~01~02 Americano Seguro COSTADO -19D4-19F9  ;1;;;;;;
1173;810100-G;Stop FX;;;;;;;
977;2787-L;Stop GRAND VIA 212-19B3;;;;;;;
978;2787-R;Stop GRAND VIA 212-19B3;;;;;;;
439;26-34-L;Stop HIACE CUADRADO ;;;;;;;
1062;212-32284-R;STOP HIACE LOBO TUNNIG ;;;;;;;
1077;212-63141-L;STOP HIACE LOBO TUNNIG ;;;;;;;
;212-1955-U-L;Stop HIACE Mod 84/87 ;;;;;;;
1037;212-1967-R;Stop HIACE Mod 84/87 ;1;;;;;;
;212-1994-L;Stop HIACE Mod. 90~2000 Minibus   LOBO;2;;;;;;
;212-1955-J-R;Stop HILUX Mod. 84~87 Borde negro;1;;;;;;
;212-1989-R;Stop HILUX Mod. 88~91~92~93~94~95~96~97;1;;;;;;
;212-2002;Stop HILUX Mod. 98~2000;1;;;;;;
788;33-09307-L;Stop HILUX SUF 96;;;;;;;
789;33-09307-R;Stop HILUX SUF 96;;;;;;;
;213-1908-2-R;Stop HILUX VIGO Mod. 2011~2012~2013~2014 Tailandes;2;;;;;;
;213-1908-L-2;Stop HILUX VIGO Mod. 2011~2012~2013~2014 Tailandes;1;;;;;;
;212-19W6-R;Stop HILUX VIGO REVO   Mod. 2015~2016~2017~2018. DEPO;;;;;;;
846;212-19Y002-U-L;Stop HILUX VIGO REVO   Mod. 2015~2016~2017~2018. DEPO;1;;;;;;
481;12-285-L;Stop HONDA CRV;1;;;;;;
504;12-291-R;Stop HONDA CRV;1;;;;;;
677;043-1536-L;Stop HONDA EG;1;;;;;;
678;043-1536-R;Stop HONDA EG;1;;;;;;
661;043-8557-L;Stop HONDA EK;;;;;;;
662;043-8557-R;Stop HONDA EK;;;;;;;
1114;043-6772-L;Stop HONDA VARIOS;;;;;;;
1115;043-6772-R;Stop HONDA VARIOS;;;;;;;
;222110-R;Stop HYUNDAI H1 STAREX 2008~09~10~11~12~13~14~15~16~2017;1;;;;;;
;222111-L;STOP HYUNDAI I10 2011-2012;;;;;;;
1122;222111-R;STOP HYUNDAI I10 2011-2012;;;;;;;
;223-1982-L;STOP HYUNDAI I10 2014-2016;1;;;;;;
740;220-20697-R;Stop IMPREZA;;;;;;;
654;220-22185-R;Stop IMPREZA;;;;;;;
688;220-24555-R;Stop INTEGRA HONDA;;;;;;;
686;220-24765-L;Stop INTEGRA HONDA;;;;;;;
962;16-45-R;Stop IO;;;;;;;
;16-88-R;Stop IO;;;;;;;
956;441-1130-R;Stop IPSUM;;;;;;;
;214-1128-L;Stop ISUZU LUV Mod.89~90~91~92~93~94~95~96 CROMADO Camioneta KB42 ;1;;;;;;
;214-1128-R;Stop ISUZU LUV Mod.89~90~91~92~93~94~95~96 CROMADO Camioneta KB42 ;1;;;;;;
;214-1140-L;Stop ISUZU LUV Mod.89~90~91~92~93~94~95~96 NEGRO Camioneta KB42 ;1;;;;;;
;214-1146-L;Stop ISUZU TROOPER 92~93~94~95~96~97~98~99~00~01~02 Wagon;1;;;;;;
1174;23521;Stop JEEP GRAN CHEROKEE 84~85~86~87~88~89~93~94~95~96~;1;;;;;;
;333-2803-L;Stop JEEP GRAN CHEROKEE 84~85~86~87~88~89~93~94~95~96~;2;;;;;;
;333-2803-R;Stop JEEP GRAN CHEROKEE 84~85~86~87~88~89~93~94~95~96~;3;;;;;;
249;6067-L;Stop jimmy led;1;;;;;;
249;6067-R;Stop jimmy led;1;;;;;;
107;231-1955-L;Stop KIA RIO IV  Mod. 2016~2017~2018~2019~2020~;2;;;;;;
;23300-12009;Stop KIA RIO IV Mod. 2016~2017~2018~2019~2020~ ;;;;;;;
;213-1908-1-L;Stop LAND CRUISER FJ100 Mod 2005~2006~ ;1;;;;;;
;213-1908-1-R;Stop LAND CRUISER FJ100 Mod 2005~2006~ ;;;;;;;
;212-1974-L;Stop LAND CRUISSER  FJ75 Mod.84~85~86~87~88 Wagon;1;;;;;;
;212-19AM-R;Stop LAND CRUISSER  FJ82  Mod. 93~94~95~96~97 ;1;;;;;;
;212-19B2-L;Stop LAND CRUISSER  FJ82  Mod. 93~94~95~96~97 ;1;;;;;;
;212-19B4-R;Stop LAND CRUISSER  FJ82  Mod. 93~94~95~96~97 ;1;;;;;;
;212-19A5-CR;Stop LAND CRUISSER  FJ82  Mod. 93~94~95~96~97 JAPONES;1;;;;;;
;212-19AM-L;Stop LAND CRUISSER  FJ82  Mod. 93~94~95~96~97 JAPONES;1;;;;;;
;212-1951-R;Stop LAND CRUISSER DINA Mod.74~81 UNIVERSAL;1;;;;;;
;212-1955-J-L;Stop LAND CRUISSER DINA Mod.74~81 UNIVERSAL;1;;;;;;
;212-1970-L;Stop LAND CRUISSER FJ60/62 Mod. 81~89 Wagon  ;1;;;;;;
;212-1970-R;Stop LAND CRUISSER FJ60/62 Mod. 81~89 Wagon  ;;;;;;;
;212-19F1-PTA;Stop LAND CRUISSER FJ70-LT79 Mod. 93~2020 Wagon;1;;;;;;
;212-19F9-L;Stop LAND CRUISSER FJ70-LT79 Mod. 93~2020 Wagon;2;;;;;;
756;1231-L;Stop LEVIN AE 92;;;;;;;
699;7344-L;Stop LEVIN TOYOTA LEVIN 90;;;;;;;
700;7344-R;Stop LEVIN TOYOTA LEVIN 90;1;;;;;;
1028;7379-L;Stop LEVN 92;;;;;;;
1029;7379-R;Stop LEVN 92;;;;;;;
305;3009-L;Stop LITE ACE  212-1983;;;;;;;
306;3009-R;Stop LITE ACE 212-1983;;;;;;;
1109;5048-R;Stop MARCH  ;;;;;;;
;5069-L;Stop MARCH  ;;;;;;;
77;217-1519-R;Stop Mazda BT-50 Mod.2012~2014 Pick Up Camioneta;;;;;;;
79;217-1522-L;Stop Mazda BT-50 Mod.2012~2014 Pick Up Camioneta;;;;;;;
80;217-1522-R;Stop MAZDA BT-50 Mod.2015~2016~2017~2018~2019~2020;;;;;;;
;217-1531-L;Stop MAZDA BT-50 Mod.2015~2016~2017~2018~2019~2020;1;;;;;;
;215-1509-R;Stop MIRAGE SPACE STAR  Mod. 2012~2013~2014~2015  ;1;;;;;;
645;MB952979-L;STOP MITSUBISHI CARISMA 97-99;;;;;;;
646;MB952979-R;STOP MITSUBISHI CARISMA 97-99;;;;;;;
;312-1186-L-U;Stop MITSUBISHI CHARIOT GRANDIS;;;;;;;
;312-1186-R-U;Stop MITSUBISHI CHARIOT GRANDIS;;;;;;;
778;10-120-L;Stop MITSUBISHI COULT 3 1989;1;;;;;;
352;10-32247-L;Stop MITSUBISHI COULT 3 1989;1;;;;;;
466;05-32-R;Stop MITSUBISHI GALANT ;;;;;;;
1033;12-127-R;Stop MITSUBISHI JUNIOR;1;;;;;;
337;12-148-L;Stop MITSUBISHI JUNIOR;1;;;;;;
;215-1427-R;Stop Mitsubishi LANCER Mod. 92~93~94~95~96 LIBERO;1;;;;;;
233;0455-L;STOP MITSUBISHI MONTERO BORDE NEGRO ;1;;;;;;
222;0455-N-L;STOP MITSUBISHI MONTERO BORDE NEGRO ;1;;;;;;
;215-1509-L;Stop Mitsubishi MONTERO PAJERO Mod. 2007~2008;1;;;;;;
729;220-52458-L;Stop MITSUBSHI DELICA;;;;;;;
730;220-52458-R;Stop MITSUBSHI DELICA;;;;;;;
250;0815-L;Stop MONTERO 214-1922;1;;;;;;
;08423-42040;Stop MONTERO 214-1922;1;;;;;;
;215-1111-L;Stop MONTERO Mod. 92~93~94~95~96~97 Cromado;1;;;;;;
;215-1111-R;Stop MONTERO Mod. 92~93~94~95~96~97 Negro;1;;;;;;
;215-1129-L;Stop MONTERO Mod. 92~93~94~95~96~97 Negro;1;;;;;;
;215-1129-R;Stop MONTERO Mod. 92~93~94~95~96~97 TUNING PARTS    PAR;1;;;;;;
;215-1427-L;Stop MONTERO Mod. 92~93~94~95~96~97 TUNING PARTS    PAR;2;;;;;;
;215-1504-R-4;Stop MONTERO NATIVA 2000~01~02~03~04~05~09~10~11~12~13~2014;1;;;;;;
745;220-32224-L;Stop NA 20 URVAN 215-1942;1;;;;;;
746;220-32224-R;Stop NA 20 URVAN 215-1942;1;;;;;;
979;4856-L;Stop nissan AD 99 wingroad;1;;;;;;
980;4856-R;Stop nissan AD 99 wingroad;1;;;;;;
721;7327-L;Stop NISSAN AD WAGON ;;;;;;;
663;220-37508-L;Stop NISSAN AD Y10;1;;;;;;
664;220-37508-R;Stop NISSAN AD Y10;;;;;;;
;215-1993-L;Stop Nissan ATLAS / CABSTAR H40 Mod.94 Camion;1;;;;;;
;215-1993-R;Stop Nissan ATLAS / CABSTAR H40 Mod.94 Camion;1;;;;;;
738;4340-R;Stop NISSAN B11 LARGO;;;;;;;
1018;33-1105-R;Stop NISSAN CUSTOM E 24;1;;;;;;
848;33-12103-L;Stop NISSAN CUSTOM E 24;1;;;;;;
;216-19AG-L;STOP NISSAN FRONTIER PICK UP MODELO 97-98-99-00-01 TUNING;1;;;;;;
74;216-19AG-R;STOP NISSAN FRONTIER PICK UP MODELO 97-98-99-00-01 TUNING;1;;;;;;
830;7337-L;Stop NISSAN MARCH 97 a rayas ;1;;;;;;
831;7337-R;Stop NISSAN MARCH 97 a rayas ;1;;;;;;
71;216-1992-L;Stop Nissan PATROL ~ SAFARI  Mod. 2000~2004  NEW;1;;;;;;
72;216-1992-R;Stop Nissan PATROL ~ SAFARI  Mod. 2000~2004  NEW;1;;;;;;
854;220-76610-L;Stop NISSAN PHATFINDER ;1;;;;;;
;215-1991-CR-3;Stop Nissan PICK-UP Camioneta Minidatsun;1;;;;;;
;215-1991-CR-R;Stop Nissan PICK-UP Camioneta Minidatsun;1;;;;;;
;215-19AA-L;Stop Nissan PICK-UP Mod.86/93/97 Camioneta  ROJO Y BLANCO;2;;;;;;
;215-19B9-L;Stop Nissan PICK-UP Mod.86/93/97 Camioneta  ROJO Y BLANCO;2;;;;;;
878;74071-60R00-L;Stop NISSAN PULSAR ;;;;;;;
879;74071-60R00-R;Stop NISSAN PULSAR ;;;;;;;
;220-6693-L;Stop NISSAN SERENA;;;;;;;
;220-6693-R;Stop NISSAN SERENA;;;;;;;
855;220-76610-R;STOP NISSAN SKYLINE ;;;;;;;
;2200-L;STOP NISSAN SKYLINE ;;;;;;;
;44-26-L;Stop NISSAN SUNNY B12;;;;;;;
;44-26-R;Stop NISSAN SUNNY B12;;;;;;;
752;7352-R;Stop NISSAN SUNNY B13 DOBLE LINEA 215-1991;2;;;;;;
;7362-L;Stop NISSAN SUNNY B13 DOBLE LINEA 215-1991;1;;;;;;
;215-19F8-R;Stop Nissan SUNNY SENTRA B12 Mod.87~88~89  ;1;;;;;;
;215-19G2-PXA-L;Stop Nissan SUNNY SENTRA B12 Mod.87~88~89  ;1;;;;;;
;215-19F8-L;Stop Nissan URVAN Mod.90~ E24 Minibus E2;;;;;;;
829;33-07803-R;STOP ORIGINAL DELICA;1;;;;;;
773;33-09303-R;STOP ORIGINAL DELICA;1;;;;;;
1133;121219;STOP PATROL 2002;2;;;;;;
1031;043-1566-R;Stop PRELUDE ;;;;;;;
681;043-1593-L;Stop PRELUDE ;;;;;;;
1046;7309-R;Stop PRESSEA ;1;;;;;;
1016;7324-L;Stop PRESSEA ;1;;;;;;
;213-1506-Y-L;Stop RAV 4 ADVANTAGE  Mod. 2001~2002~2003~2004~ Tipo Europeo Manual;1;;;;;;
276;4219-E3-R;Stop rav4 97;1;;;;;;
277;4219-R;Stop rav4 97;1;;;;;;
819;1079-L;Stop REFLEX EP91;;;;;;;
135;553-1101-LDEM2-L;STOP RENAULT CAPTUR;;;;;;;
;551-19AQ-R;Stop Renault DUSTER  Mod.2013~2014~2015~2016~;1;;;;;;
;551-19AJ-R;Stop Renault DUSTER Mod.2013~2014~2015;2;;;;;;
1055;55101-26020;STOP RENAULT KIWID;;;;;;;
;551-1999-R;Stop Renault KOLEOS Mod.2008~2009~2010~2011~2012~13~2014~2015~;1;;;;;;
943;551-19A2-R;Stop Renault KOLEOS Mod.2008~2009~2010~2011~2012~13~2014~2015~;1;;;;;;
;551-19AC-R;Stop Renault SANDERO STEPWAY Mod. 2012~2013~2014~2015;;;;;;;
1068;045-3966-L;Stop RVR 92 ;1;;;;;;
1069;045-3966-R;Stop RVR 92 ;1;;;;;;
223;0455-N-R;Stop RVR BI COLOR;;;;;;;
234;0455-R;Stop RVR BI COLOR;;;;;;;
994;2155-R;Stop SENTRA Mod. 92~93 Auto;2;;;;;;
;330-1112-R;Stop SOLEI EP82;;;;;;;
;330-1112-L;Stop SOLEI EP82 ;;;;;;;
;120-37623-R;Stop SPRINTER 93;;;;;;;
;P1944-L;Stop stanley;1;;;;;;
;P1944-R;Stop stanley;1;;;;;;
;P5613-L;Stop stanley;1;;;;;;
;P5613-R;Stop stanley;1;;;;;;
614;1149-204-L;Stop STARLET;;;;;;;
615;1149-204-R;Stop STARLET;;;;;;;
807;53-12003-R;Stop starlet;1;;;;;;
764;53-07901-L;Stop STARLET EP82;;;;;;;
765;53-07901-R;Stop STARLET EP82;;;;;;;
;2200-R;Stop STARLET EP82 TURBO;;;;;;;
;220635-R;Stop STARLET EP82 TURBO;;;;;;;
;1288-L;Stop starlet gt glanza;1;;;;;;
343;1299-R;Stop starlet gt glanza;1;;;;;;
698;4363-R;Stop SUABU DOMINGO;1;;;;;;
697;4363-L;Stop SUABU DOMINGO RASPADILLO EF 12;1;;;;;;
653;220-22220-L;Stop SUBARU 97;;;;;;;
723;220-24522-L;Stop SUBARU 97;;;;;;;
217;2105-L;Stop SUBARU DOMINGO;;;;;;;
218;2105-R;Stop SUBARU DOMINGO;;;;;;;
97;220-1105-L;STOP SUBARU IMPREZA ROJO BLANCO WAGON ;;;;;;;
98;220-1105-R;STOP SUBARU IMPREZA ROJO BLANCO WAGON ;;;;;;;
739;220-20697-L;Stop SUBARU LEGACY 92 VERIFICAR MOD;;;;;;;
148;846-L;Stop SUNNY B13 215-1967;;;;;;;
149;846-R;Stop SUNNY B13 215-1967;1;;;;;;
;216-1139-R;Stop SUNNY SENTRA Mod. ~2000~2001~2002~2003~2004;1;;;;;;
;216-1165-L;Stop SUNNY SENTRA Mod.92~93~94~95~96~97~98~99~2000~01~2002;1;;;;;;
;P6882-L;STOP SUZUKI APV PASAJEROS;;;;;;;
;218-1942-R;Stop Suzuki SAMURAI;;;;;;;
95;218-1983-L;STOP SUZUKI VITARA XL7 CRISTALIZADO ;2;;;;;;
96;218-1983-R;STOP SUZUKI VITARA XL7 CRISTALIZADO ;1;;;;;;
94;218-1949-R;Stop Suzuqui  VITARA/ESCUDO 90/9..;1;;;;;;
;2183-R;Stop Suzuqui CARRY EVERY WAGON Mod.2003~2004    SUZUQUI  APV;1;;;;;;
;219-1406-l;Stop Suzuqui ERTIGA Mod. 2011 2012~2013~2014;1;;;;;;
;219-1405-L;Stop Suzuqui GRAN VITARA Mod.2005 Cristal 2;;;;;;;
;219-1405-R;Stop Suzuqui GRAN VITARA Mod.2005 Cristal 2;2;;;;;;
400;25-72-R;"Stop Suzuqui PRONTO 99/2000 EVERY 2000 ""SUZUKI"" Zapatito  Blanco/Rojo";1;;;;;;
944;218-1974-R;Stop Suzuqui SWIFT Mod. 90 CULTUS;1;;;;;;
;314-1132-PXAS2-L;Stop Toyota 4RUNNER Mod. 2013~2014~2015~2016~2017. LED;;;;;;;
;314-1132-PXAS2-R;Stop Toyota 4RUNNER Mod. 2013~2014~2015~2016~2017. LED;;;;;;;
832;7370-L;STOP TOYOTA CALDINA A MUELLE ROJO BLANCO ;;;;;;;
833;7370-R;STOP TOYOTA CALDINA A MUELLE ROJO BLANCO ;;;;;;;
471;20-383-L;Stop TOYOTA CARINA 91;;;;;;;
472;20-383-R;Stop TOYOTA CARINA 91;;;;;;;
1038;12-353-R;Stop TOYOTA COROLLA 212-1935-1;1;;;;;;
114;314-1126-R;Stop Toyota COROLLA Mod 2014~2015~2016~2017~2018~2019  ;1;;;;;;
762;20-222-L;STOP TOYOTA CORONA 1983 (rojo / Naranja);;;;;;;
485;20-271-L;Stop TOYOTA CORONA con retro;1;;;;;;
;212-1994-R;Stop Toyota HIACE Mod. 90~ minibus LOBO;1;;;;;;
716;33-10505-R;Stop TOYOTA LEVIN ;;;;;;;
1017;33-1105-L;Stop TOYOTA LEVIN ;;;;;;;
;212-2050-R;Stop Toyota PRADO CRISTAL TUNING 95/99 FJ90 VAGONE;1;;;;;;
;212-2901N;Stop Toyota PRADO CRISTAL TUNING 95/99 FJ90 VAGONE;1;;;;;;
;330-1501-L;Stop TOYOTA SINOS VERIFICAR;;;;;;;
;213-1912-L;Stop TOYOTA SUCCED 212-19Y002;;;;;;;
;213-1926-L;Stop TOYOTA SUCCED 212-19Y002;;;;;;;
817;33-1300-R;Stop TOYOTA TERCEL;1;;;;;;
1045;33-13003-R;Stop TOYOTA TERCEL;1;;;;;;
964;32-41-L;Stop TOYOTA WINDOWN;;;;;;;
;320-1111-L;Stop TOYOTA WINDOWN;;;;;;;
834;12-426-L;Stop TRUENO 90 ;;;;;;;
520;12-422-R;Stop TRUENO 90  AE92;;;;;;;
;221-1108-L;Stop TRUENO 96;;;;;;;
;221-1147-L;Stop TRUENO 96;1;;;;;;
;110-37746-L;Stop universal BUS 2000 Claro;2;;;;;;
722;7327-R;Stop VERIFICAR;;;;;;;
639;220-51616-R;Stop VIATARA ESCUDO;1;;;;;;
358;32-22-R;Stop VITARA CHEVROLET TRACKER     Mod.98~03;1;;;;;;
638;220-51616-L;Stop VITARA ESCUDO ;1;;;;;;
;219-1406-R;Stop VITARA Mod. 2015~2016~2017;;;;;;;
;219-1506-SET;Stop VITARA Mod. 2015~2016~2017;;;;;;;
;52119-13070;Stop VITZ;1;;;;;;
131;441-19C5-L;Stop Volkswagen AMAROK Mod.2009~2010~2011~2012~    Manual Negro;2;;;;;;
132;441-19C5-R;Stop Volkswagen AMAROK Mod.2009~2010~2011~2012~    Manual Negro;2;;;;;;
;4413-L;Stop Volkswagen GOLD Mod.2013~2014~2015~2016~ 5 puertas ;1;;;;;;
;4413-R;Stop Volkswagen GOLD Mod.2013~2014~2015~2016~ 5 puertas ;1;;;;;;
;441-19F4-L;Stop Volkswagen SAVEIRO Mod. 2010~2011~2013~2014~2015;;;;;;;
;441-19F4-R;Stop Volkswagen SAVEIRO Mod. 2010~2011~2013~2014~2015;;;;;;;
368;05-31-L;Stop-LANCER 92 214-1942;;;;;;;
945;221-1160-2L;SWITCH SUZUKI VITARA ESCUDO DERECHO ;;;;;;;
;DS-2007;Tacometro;;;;;;;
;TT-SUBARU;Tapa central de tablero subaru forester;5;;;;;;
;TT-SUBARU-C;Tapa central de tablero subaru forester;1;;;;;;
;TP-A-SF5-99-L-N;Tapa de alogeno subaru forester 97-2000 NEGRO;;;;;;;
;TP-A-SF5-99-L-B;Tapa de alogeno subaru forester 97-2001 BLANCO;3;;;;;;
;TP-A-SF5-99-R-B;Tapa de alogeno subaru forester 97-2001 BLANCO;3;;;;;;
;TP-A-SF5-99-R-G;Tapa de alogeno subaru forester 97-2001 GRID PLOMO;;;;;;;
;TP-A-SF5-99-L-G;Tapa de alogeno subaru forester 97-2001 GRIS PLOMO;;;;;;;
;TP-A-SF5-99-R-N;Tapa de alogeno subaru forester 97-2001 NEGRO;;;;;;;
;TP-A-SF5-99-L;Tapa de alogeno subaru forester 97-2001 SIN LOGO;;;;;;;
;TP-A-SF5-99-R;Tapa de alogeno subaru forester 97-2001 SIN LOGO;;;;;;;
;C-TSU-SUB-UNI;TAPA DE CARBONO DE MOTOR LEGACY ;1;;;;;;
;T-AE86-F;TAPA DE FRENO DE MANO COROLLA AE86;;;;;;;
365;F-AE86-L;TAPA DE HALOGENO IMPREZA;3;;;;;;
;F-M-JUNIOR;TAPA DE HALOGENO IMPREZA;3;;;;;;
;T-NISS-STOP-F-L;TAPA DE STOP NISSAN CUSTOM FIBRA;2;;;;;;
;T-NISS-STOP-F-R;TAPA DE STOP NISSAN CUSTOM FIBRA;2;;;;;;
928;TT-FORESTER-F;Tapa de TABLERO FORESTER 97-2000 FIBRA;;;;;;;
1000;SB11013A-L;Tapabarro FORESTER Mod. 98~99~2000~2001~2002;;;;;;;
1001;SB11013A-R;Tapabarro FORESTER Mod. 98~99~2000~2001~2002;;;;;;;
;TY11106;TAPABARRO HILUX SURF ;;;;;;;
;MR954175-L;Tapabarro lancer 2006;1;;;;;;
;MR954175-R;Tapabarro lancer 2006;1;;;;;;
996;36401-8500-R;TERCERA LUZ DE SUZUKI AWIFT 2017;;;;;;;
;860302;TERMINAL DE DIRECCION NISSAN E25 SE-4971;10;;;;;;
;860135;TERMINAL DIREC TOY KE70 LARGO CURVEADO;;;;;;;
1151;860101;TERMINAL DIREC.  NISSAN E24 1991-2002 L/R;12;;;;;;
;860105;TERMINAL DIREC. TOY KE70 78/87 T/TRAS CORTO;2;;;;;;
;F-TA-FORESTER;TOMA AIRE FORESTER;1;;;;;;
;F-TA-IMPREZA;TOMA AIRE IMPREZA;1;;;;;;
;F-TSU-SUB-FOR;TOMA DE AIRE TSUNAMI SUBARU FORESTER ;;;;;;;
;F-TSU-SUB-IMP;TOMA DE AIRE TSUNAMI SUBARU IMPREZA ;;;;;;;
900;CALIPER-VAR;TOMA DE AIRE TSUNAMI UNIVERSAL CARBONO ;;;;;;;
289;3494-L;TOYOTA ;;;;;;;
516;35-43-R;TOYOTA EP82;;;;;;;
;TY3112A-R-R;TRACERO DERECHO ;1;;;;;;
;TD-06;TURBO NUEVO SUBARU EJ20 TURBO ;;;;;;;
935;TD-04;TURBO TD04;;;;;;;
;123629;UNIVERSAL ;;;;;;;
1027;4287-R;VARIOS VERIFICAR;;;;;;;
;850016;Velocimetro SUBARU forester;;;;;;;
;123638;Velocimetro SUBARU impreza;;;;;;;
378;26-32-R;Velocimetro SUBARU lite ace;;;;;;;
;47-212-1142-R-K;Vidrio de farol COROLLA Mod. 92~95;1;;;;;;
;47-59-L;Vidrio de farol COROLLA Mod. 92~95;1;;;;;;
710;47-59-R;Vidrio de farol COROLLA Mod. 92~95;1;;;;;;
;850020;;1;;;;;;
5;860010;;;;;;;;
6;860011;;9;;;;;;
;860014;;1;;;;;;
;860021;;60;;;;;;
15;860041;;8;;;;;;
16;860042;;2;;;;;;
1155;860047;;;;;;;;
27;860129;;;;;;;;
1140;860143;;6;;;;;;
29;870044;;10;;;;;;
1014;870045;;10;;;;;;
1124;001-6557-R;;2;;;;;;
406;120-87194-R;;;;;;;;
347;1439-L;;1;;;;;;
488;20-262-L;;;;;;;;
;21-16-R;;;;;;;;
;212-1169-L;;;;;;;;
57;214-1148-L;;;;;;;;
62;214-1163-R;;;;;;;;
953;214-1199-L;;;;;;;;
63;214-1515-CY-L;;1;;;;;;
64;214-1515-CY-R;;1;;;;;;
1111;2143-R;;;;;;;;
;215-1504-L-4;;;;;;;;
;215-1542-R;;;;;;;;
;215-1543-L;;;;;;;;
;215-1562-R;;;;;;;;
;215-1575-L;;;;;;;;
;215-1968-PXA-L;;;;;;;;
993;2155-L;;;;;;;;
;216-1165-R;;;;;;;;
69;216-1175-L;;;;;;;;
70;216-1175-R;;;;;;;;
449;2165-L;;;;;;;;
76;217-1111 PXA-R;;;;;;;;
;218-1164-R;;;;;;;;
87;218-1170-L;;;;;;;;
;218-1502-L;;;;;;;;
;218-1502-R;;;;;;;;
93;218-1949-L;;1;;;;;;
;2183-L;;;;;;;;
1196;220-1402-PXA-2-L;;;;;;;;
1197;220-1402-PXA-2-R;;;;;;;;
;223-1982-R;;;;;;;;
399;24522-R;;;;;;;;
375;26-13-L;;1;;;;;;
;315-1195-L;;;;;;;;
;315-1503-L-Y;;;;;;;;
986;3162-R;;;;;;;;
442;3226-R;;1;;;;;;
121;323-1105-L;;1;;;;;;
;330-1501-R;;;;;;;;
;330-1504-R;;1;;;;;;
;331-1129-L;;;;;;;;
;331-1129-R;;;;;;;;
;331-1524-R;;1;;;;;;
;331-1903-L;;1;;;;;;
429;3311-R;;;;;;;;
;333-1608-R;;;;;;;;
;551-19AC-L;;1;;;;;;
1146;870051-O;;;;;;;;
30;870059-G;;;;;;;;
32;870063-G;;;;;;;;
;870090-G;;;;;;;;
;870121-G;;;;;;;;
1141;A-2158;;;;;;;;
;A33-1198-L;;1;;;;;;
;Am0709-L;;1;;;;;;
161;AP-P;;1;;;;;;
;C-86011-12;;;;;;;;
169;C-CIVIC-92;;;;;;;;
176;C-CULTUS-91;;;;;;;;
1092;CH-216036;;;;;;;;
;CH-216071;;;;;;;;
565;CHI-P-M;;;;;;;;
1199;CON-R-VAR;;;;;;;;
;DS04072BA;;1;;;;;;
;DS07413GA;;1;;;;;;
202;E-HONDA-VAR;;1;;;;;;
1108;F-PT-FORESTER;;4;;;;;;
;HN11078-L;;1;;;;;;
;HN11078-R;;1;;;;;;
;P5996-L;;;;;;;;
;P5996-R;;;;;;;;
;RN10060-L;;;;;;;;
;RN11052B-L;;1;;;;;;
;RN11052B-R;;1;;;;;;
;SZ04092BA;;1;;;;;;
;SZ07024GA;;1;;;;;;
;SZ07067GA;;1;;;;;;
;SZ99020AL;;1;;;;;;
;SZ99020AR;;1;;;;;;
;TH-1950-C-L;;1;;;;;;
;TQ-514-0;;;;;;;;
;TY07081GA;;;;;;;;
;TY07204GA;;1;;;;;;
;TY11071A-L;;1;;;;;;
;TY11106A-L;;;;;;;;
;TY11106A-R;;;;;;;;
;TY11367-A-L;;1;;;;;;
;TY11367-A-R;;1;;;;;;
